id,name,committeeId
HSAP01,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",HSAP
HSAP19,"Commerce, Justice, Science, and Related Agencies",HSAP
HSAP02,Defense,HSAP
HSAP10,"Energy and Water Development, and Related Agencies",HSAP
HSAP23,Financial Services and General Government,HSAP
HSAP15,Homeland Security,HSAP
HSAP06,"Interior, Environment, and Related Agencies",HSAP
HSAP07,"Labor, Health and Human Services, Education, and Related Agencies",HSAP
HSAP24,Legislative Branch,HSAP
HSAP18,"Military Construction, Veterans Affairs, and Related Agencies",HSAP
HSAP04,"State, Foreign Operations, and Related Programs",HSAP
HSAP20,"Transportation, and Housing and Urban Development, and Related Agencies",HSAP
HSAS25,Tactical Air and Land Forces,HSAS
HSAS02,Military Personnel,HSAS
HSAS03,Readiness,HSAS
HSAS28,Seapower and Projection Forces,HSAS
HSAS29,Strategic Forces,HSAS
HSAS26,Intelligence and Special Operations,HSAS
HSAS35,"Cyber, Innovative Technologies, and Information Systems",HSAS
HSED14,"Early Childhood, Elementary, and Secondary Education",HSED
HSED02,"Health, Employment, Labor, and Pensions",HSED
HSED13,Higher Education and Workforce Investment,HSED
HSED10,Workforce Protections,HSED
HSED07,Civil Rights and Human Services,HSED
HSIF17,Consumer Protection and Commerce,HSIF
HSIF16,Communications and Technology,HSIF
HSIF03,Energy,HSIF
HSIF14,Health,HSIF
HSIF02,Oversight and Investigations,HSIF
HSIF18,Environment and Climate Change,HSIF
HSBA16,"Investor Protection, Entrepreneurship, and Capital Markets",HSBA
HSBA15,Consumer Protection and Financial Institutions,HSBA
HSBA04,"Housing, Community Development, and Insurance",HSBA
HSBA09,Oversight and Investigations,HSBA
HSBA01,"National Security, International Development, and Monetary Policy",HSBA
HSBA13,Diversity and Inclusion,HSBA
HSFA16,"Africa, Global Health, and Global Human Rights",HSFA
HSFA05,"Asia, the Pacific, Central Asia, and Nonproliferation",HSFA
HSFA14,"Europe, Energy, the Environment, and Cyber",HSFA
HSFA17,"International Development, International Organizations, and Global Corporate Social Impact",HSFA
HSFA13,"Middle East, North Africa, and Global Counterterrorism",HSFA
HSFA07,"Western Hemisphere, Civilian Security, Migration, and International Economic Policy",HSFA
HSHM11,"Border Security, Facilitation, and Operations",HSHM
HSHM12,"Emergency Preparedness, Response, and Recovery",HSHM
HSHM08,"Cybersecurity, Infrastructure Protection, and Innovation",HSHM
HSHM05,Intelligence and Counterterrorism,HSHM
HSHM09,"Oversight, Management, and Accountability",HSHM
HSHM07,Transportation and Maritime Security,HSHM
HSII06,Energy and Mineral Resources,HSII
HSII22,"Fisheries, Wildlife, Oceans and Insular Affairs",HSII
HSII10,"National Parks, Forests, and Public Lands",HSII
HSII13,"Water, Oceans, and Wildlife",HSII
HSII15,Oversight and Investigations,HSII
HSII24,For Indigenous Peoples of the United States,HSII
HSGO25,Information Technology,HSGO
HSGO24,Government Operations,HSGO
HSGO06,National Security,HSGO
HSGO28,Environment,HSGO
HSGO27,"Healthcare, Benefits, and Administrative Rules",HSGO
HSGO29,Intergovernmental Affairs,HSGO
HSGO02,Civil Rights and Civil Liberties,HSGO
HSGO05,Economic and Consumer Policy,HSGO
HSRU02,Legislative and Budget Process,HSRU
HSRU04,Rules and Organization of the House,HSRU
HSRU05,Expedited Procedures,HSRU
HSSY20,Energy,HSSY
HSSY21,Investigations and Oversight,HSSY
HSSY16,Space and Aeronautics,HSSY
HSSY15,Research and Technology,HSSY
HSSY18,Environment,HSSY
HSSM23,Contracting and Infrastructure,HSSM
HSSM24,"Oversight, Investigations, and Regulations",HSSM
HSSM25,"Underserved, Agricultural, and Rural Business Development",HSSM
HSSM27,"Economic Growth, Tax, and Capital Access",HSSM
HSSM26,"Innovation, Entrepreneurship, and Workforce Development",HSSM
HSJU10,"The Constitution, Civil Rights, and Civil Liberties",HSJU
HSJU03,"Courts, Intellectual Property, and the Internet",HSJU
HSJU08,"Crime, Terrorism and Homeland Security",HSJU
HSJU01,Immigration and Citizenship,HSJU
HSJU05,"Antitrust, Commercial, and Administrative Law",HSJU
